president names,schools
president . father richard a. hill ,jesuit school of theology | 
president . r ober theiler ,lassen college | 
president . dr. leland . newcomer ,la veme college 
president . dr. t. kong lee ,lincoln university 
president . dr. david j. bleber ,loma linda university 
president . . sr. gertrude h. patch ,lone mountain college 
resident . dr. wiley p. garner ,long beach city college 
resident . dr. john r. dunkin ,los ang bapt c-theol sem 
dean . r. charles n abe! ,los ang college optometry 
president . john k. we ,
president . . dr. louis kaufm ,*los angeles city college 
president . . wendell c. bla ,*los ang harbor college 
president . dr. john r nick ,*los ang pierce college 
ed president . dr. leadie m. clark ,*los ang southwest college - 
presidfeant . fred j. brinkm an ,er *los ang tr tech college 
ie president . r. robert e. horton ,17 *los ang valley college 
president . dr. morris j. heldman ,*west los angeles college 
president . kenneth d. boettcher ,los rios jc system off 
president . mr. oliver j. durand ,*cosumnes river college 
president . dr. samuel m. kipp ,*sacramente city college 
president . sr. m. raymunde mckay ,marymount college 
presidenrt . richard f. 0'brien ,menlo college 
vice pres for instruction . . . jack ev ,doan of the college divison . . walter c. brown 
president . dr. herma ,miller community college 
presidant . . dr. rob ,mills college 
superintendent president . dr. john § ,mira costa college 
president . dr. kenneth n. griffin ,modesto junior college 
president . hon. fulton freeman ,mntrey inst forgn studies 
president . george j. faul ,monterey pen college 
president .| dr. john j. collins ,moorpark college 
president . sr. cecilia l. moore dir ,mount snt mary's college ui 
president . mrs. marie t. mills ,mount san antonio college | 
president . dr. milo p. johnson m ,co mount san jacinto college din 
president . . ni. donald r. smothers dire ,nairobi college to | 
sident . dr. george w. clark ,apa college | 
e president for finance . mr. dick spel meyer ,orthrop inst technology . ; 
superintendent and president . dr. stephen e ,ccidental college 
president . dr. r. dudley ,orange coast jc sys off 
h president . dr. robert b. [ ,*orange ceast college 
director . andreas s. andersen ,otis art inst los ang co 
president . medford h. jones ,pacific christian college 
president . dr. arthur j. wiebe ,pacific college . | 
president . charles m. cooper ,pacific luth theol sem 
president . e. robert la crosse ,pacific oaks college 
president . dr. stuart l. anderson ,pacific sch of religion 
president . floyd 0. rittenhouse ,pacific union college 
president . dr. frederick r. huber ,palomar college 
president . ,
vice presider ,
president . ,
president . dr. william s. banowsky ,rde college 
president . dr. paul l. holmes ,peralta cc system office 
president . dr. dale p. wren ,*feather river college 
president . herbert m. stein ,
president . dr. norvel smith ,*laney college 
president . odin h. shires ,porterville college 
president superintendent . dr. walter m. garcia ,rio hondo college 
president . mr. ralph h. bradshaw ,riverside city college 
president . dr. clyde m. narramore ,rosemead grad sch of psyc 
president . mr. raymond n. doyle ,russell college 
superintendent and president . dr. f. h. bremer ,saddleback college 
regent of stu ,
vice presiden ,
president . ,
b president . dr. thomas j. slakey ,
rector . v rev melvin l. farrell ,bert’s college 
president . dr. arthur m. jensen ,sn bernardino vly college 
| . president . . dr. reu gorton ,san diego cc cen office 
president . dr. robert s hamilton ,*san diego cc-evening c 
president . dr. ellis m. benson ,*san diego cc-mesa college 
director of the college . fred martin ,san francisco art inst c 
"affilistion—united presbyterian, usa : ",
president . dr. arnold b. come ,san francisco theol sem h | 
president . mr. joseph l. blanchard ,san joaquin delta college 
president . . . mr. woodrow e. phillips ,san jose bible college 
president and superintendent . dr. 0. roemmich ,san jose city college 
president . james w. duke ,san mateo jc system off 
president . dr. david h. mertes ,*college of san mateo 
president . mr. philip c. garlington i ,*skyline college 
libraran . wwir. rolland e. boepple ,
l president . wdir. glenn g. good er ,santa barbara cty college 
ee . ¥ice pres academic alsirs . wiiorferd l riddick ,santa monica college 
o the president . dwr. randolph newman ,
president colonel irl rr 000 rrr nrrl lar 000000000000 0000020000000000000000000 00 mark w. lee ,rosa junior college 
president . wi dallas evens ,solano college 
president emil a. balli ,southern cal college 
president orci r0002 0000 22222220)22002220000000200020121012001000000 2120120100100002100000 dr. gordon t michalson ,southern cal sch theology 
president . dr. robert c. kimball ,southwestern college se 
president . dr. clyde c. mccully ,state center jc sys off 
president . mr. clifford m. boye: ,*reedley college : 
president . garin a. bashan ,taft college 
president . dr. william c. rust ,us intemational u 
chancellor . h bowler ,u of cal central office | 
chancellor . james h. meyer ,*u of cal davis 
dean . marvin j. anderson ,*u of cal hostings c law 
chancellor . ivan hinder. ,of of law placement . hohn mordin 
chancellor . william d. mce! ,*u of cal san diego 
chancellor . dr. philip r. ,*u cal san frisco med! cir 
ent chancellor . dr. verrion |. cheadle ; ,w of cal santa barbora : 
. 5 chancellor . dr. dean e. mchenry ,in *u of cal santa cruz : 
president . dr. david l. lieber ,«university of judaism : | 
aching president . dr. alistair w. mccrone ,university of the pacific | 
president . dr. eugene e. oawson ,university of redlands 
resident . dr. author e. hughes | ,j san diego coor colleges 
hancellor . msgr. i. brent eagen & ,j san diego school of low | 
ce pres for academic affalrs . rev. edmond j. smyth ,) of san francisco ; 
president . dr. john r. hubbard ,iniversity of santa clara 
president . dr. ray e. loehr ,5 ventura college . 
president . . burton w. wadsworth ,victor valley college 
president . . dr. horace s. ward jr. ,bean of students . william m. alcorn 
president . r. victor elconin dean of ,west coast u central oh 
birector . willard g. huggins presider ,*w coast u orange co ctr ) whis 
president . mr. robert a. annand 1027 ,
president . dr. kenneth m. monroe 2728 ,
president . mr. james p. hardy cents ,highest offering—2 but less than 4 years 2088 
president . dr. john a. marvel ,tier college 
president . dr. edward r. beaty ,aims college 
president . dr. allan p. crawfurd ,arapahoe cmty collea- 
president . lioyd e. womer ,colorado college 
president . dr. robert turkisher ,colo elec tech college 
campus administrator . . mr. donald s. hix ,colo mtn college cen off | 
president . dr. guy 7. mcbride jr. ,*colo min college west cam . 
president . adrian r. cham beriain ,colorado school of mines | 
campus director . dr. donald h. godhold ,: cc of denver central off 
orth campus director . dr. john h. swenson ,'cc of denver north campus 
ampus director . dr. joseph k. bailey ,007d of placement services . mr. john waldeck 
esident . dr. vernon c. grounds ,ons baptist theol sem 
president . dr. robert 0. hatton ,
president . dr. s. jameson jones ,fort lewis college | co 
! president . dr. don l. keith ,lamar community college | 
president . st. patricia jean manion ,y loretto heights college 
president . dr. theodors e albers ,mesa college | | 
president . br. james d. palmer ,metropolitan st college | | 
. e. s. french ,northeastern jr college 
president . dr. w. l mcdivitt contro ,highest offering- 2 but less than 4 years 900 w 
director of the libray . mrs. frances champion president ,
president . dr. james h. bos temp ,county—rio blanco fice code 001359 dear of 
"3539 w 50th pkwy, denver 80221 congr. dist. 1 president ",
president . v rev thomas j. casey director o ,
telephone (303) 722-4687 men president ,
president . dr. frederick p. thie ,
vice provost . dr. charles l hind ,*u of colo colo springs | | | 
vice provost . dr. paul e. bartlett ,*u of colo denver center er 
vice pres for health affais . . wdir. robert a. aldrich ,*u of colo medical center . . . 
chancelor . dr. maurice b. mitchell ,university of denver : ce 
interim president . dr. frank p. lakin ,v of northern colorado . 
president . dr. harlan bryant lit ,western st college colo w 
president . . dr. francis h. hom de ,albertus magnus college | dil 
-. ecr rp pr 7% a te vt sn apr = ,annhurst college | l pre 
e president treasurer . mr. theodore m. perkins ,ridgeport engr institute 
e pres academic affairs . dr. heimwarth b. jestin ,entral conn st college | 
sident . dr. charles e. shain ,onnecticut college eet 
president . dr. charfes r. webb jr. ,eastern conn st college 
president . rev. william c. mcinnes ,fairfield university | 
president . . arthur c. banks jr. ,
president . miss laura a. johnson ,
president . dr. james n. gettemy ,
president . wir. thomas v. raimondi ,hartford st tech college 
president and rector . rev. leo j. ovian ,holy apostles sem college 
president . me. edward j. liston ,
president . sr. mary viterbia dyka ,longview college 
president . dr. frederich w. lowe jr. ,manchester cmty college 
presideat . dr. charles b. haney ,mattatuck cmty college 
president . mother anita mari ,dellesex cmty college 
president . john h. helle ,new england institute 
president . dr. regina m. duff ,nthwstn conn cmty college 
president . everett | l. bake ,norwalk community college 
president . mr. frank l. jusali ,norwalk st tech college 
president . dr. f. burton cook ,post junior college 
pre-ident . dr. leonard v. kent ,quinnipiac college 
president . dr. richard j. grosh di ,
president . mr. robert a. kidera tr ,sacred heart university 
rector and dean . v rev joseph t. hurley ri ,saint alphonsus college 
president . m rev joseph m. schmondiuk dy ,saint basil's college 
president . . . dr. mary consolata 0'connor dr ,saint joseph college | 0 
08 president . rev. joseph p. donahue ,aint thomas seminary | 
esident . dr. w. de homes waller ,outh cen cmty college 
08 pres academic affairr . dr. evann amiddlebrooks ,outhem conn st college 
president . mr. donald r. weiter ,thames vly state tech c 
president . . dr. theodore d. lockwood ,trinity college . 
president . dr. benjamin g. davis ,tunxis community college 
president .jj;. henry w. littlefield ,university of bridgeport | 
president . .j mr. homer d. babbidge jr. ,u of conn central office 
director . me. wilber r. griswold ,*u of conn hartford lae 
exec dir and vice president . dr. john w. patterson ,*u of conn health center 
director .j mr. william t. o'hara ,*u of conn southeastern br 
director . mr. robert h. wyllie ,*u of conn stamford 
director . mr. glen kilner ,*u of conn torrington | 
president . mr. hector c. prudhomme ,w of conn waterbury | oo 
president . kenneth w. fogg ,iversity of hartford 
president . mr. colin g. campbell ,wesleyan university 
president . dr. ruth a. haas ,western conn st college . 
president . kingman brewsler r. ,yale university 
president . alr. sidney r. peters ,brandywine college 
president . . wdr. lua 1 mishos ,delaware state college . | 
executive director . william faucett ,
executive director . jack owens ,*del tech & cc southem br | 
i president . dr. clarence a. fulmer ,goldey beacom college 
president . e. arthur trabant ,: university of delaware 
president . dr. robert h. parker ,wesley college | 
president . dr. donald e. ross ,wilmington college 
president . dr. george h. william s ,american university 
president . dr. clarence c. walton ,catholic u of america 
president . paul p. cooke ,dc teachers college 
president . dr. paul g. buchanan ,dunbarton c of holy cross | 
president . . dr. harland l randolph ,federal city college | 
president . .edward c. merrill jr. ,gallaudet college n hha . 
president . rev. robert j. henle ,georgetown university 
president . dr. lloyd h. el ,george wash university 
president . ,
president ,
acting presid ,dir college & 
vice pres for academic affais . dr. eileen p. kuhns de: ,d university | | 
president . rev. richard j. murphy dir ,oblate college | 
i president . rev. wilfred dewan i ,i saint paul’s college w 
president . dr. john p. maurer ,! southeastern university dir 
e pres college relatons . lee alanahan ,i strayer college | 
8 pres for instnl research . st. columba mullaly ,inity college . 
president . sr. mary dorothy browne ,ashington technical inst | 
president . dr. richard v. moore ,bethune cookman college | | 
{ president . rev. john h. mcdonnell ,biscayne college | 
president . dr. maxwell c. king ,brevard cmty college 
president . dr. alfred h. adams ,broward cmty college . 
president . or henny e. e. goodlett ,central fla cmty college . | 
president . dr. raymond m. deming ,chipola junior college 
president . dr. roy f. bergengren j. ,daytona bch cmty college 
president . dr. david g. robinson ,edison junior college 
| accreditation - s.ang. presid ,-riddle aeron u 
: acting president . dr. benjamin wygal direct ,fla jr college jacksonvl resid 
} president . dr. john sylvester smith con ,n florida keys cmty college ore 
president . richard e. morte ,florida memorial college vad 
president . dr. morton s. shanber ,hillsborough cmty college 
president . dr. herman a. her's ,indian river cmty college 
p resident . dr. robert h. spiro | ,
president . dr. jack h. jones ,’ jones college central off 
: president . dr. herbert e. philips ; ,y *jones college orlando cam 
president . dr. paul p. williams dir ,lake city cmty college 
president . . dr. samuel r. neel jr. 1 ,manatee junior college dire 
accreditation—s. pres ,| marymount college \ 
8 president north campus . dr. maris d. hansen ,miami-dade junior college | 
president . dr. abraham s. fischier ,sw college 
president . j. e mccrachen dire ,okaloosa-walton junior c re 
president . dr. jess c. moody dire ,palm bch atlantic college 
president . r. charles w. lapradd ,. palm beach junior college a ; 
rector and president . v rev charles f. mcnamara ,
president . st. thomas joseph mcgoldrick ,snt joseph college of fla g 
president . dr. thomas b. southard ,saint leo college   
asst to pres ,saint petersh jr college 
ice pres for ,
treasurer . ,
asst to pres ,
president . cyril e. homer en ,‘e junior college 
president . william a. stallard dean ,south florida jr college ust 
president . . . .dr. benjamin l. peny ir. direct ,{*see also appendix a) : *flo 
president . dr. charles m. millican ,atlantic university 
president . mr. stephen c. 0'connell ,*univernsity of florida 
president . dr. john e. johns ,stetson university 
president . . dr. fred w. turner ,tallahassee cmty college 
president . dy. henry k. stanford ,university of miami 
2 pres for academic affais . dr. floyd e. allison ,niversity of tampa 
t to pres for plan develop . mr. robert w. gilbert ,nlencia cmty college 
sldent . dr. wtian b. logan ,lebber college 
president . dr. j. clyde driggers ,
president . dr. wallace m. alston ,agnes scott college 
president . dr. bill r. tilley ,albany junior college 
president . ,albany state college | 
president . ,
president . ,
asst to pres bu ,
president . .james c. redmon ,
dren . djohn h. rogers ,atlanta school of art 
president . dthomas d. larrett ,atlanta university 
president . dr. george a. christenberry ,augusta college 
president . dr. john r. bertrand ,berry college 
acting president and acad dean . miss annie m. powell ,birdwood junior college 
president . . dr. james t. rogers ,brenau college 
president . dr. j. theodore phiflips ,brewton-parker college 
president . dr. john w. teel ,brunswick junior college ll 
president . dr. vivian w. henderson ,clark college be 
president . dr. harry s. downs ,clayton junior college . de: 
president . rev. c. benton kline l ,columbia theological sem p 
ffiliation - reformed presbyterian church j ,slumbus college 
¢ pres admin communications . vacant i ,venant college 
president .| culbreth y melton co ,alton junior college | 
president . dr. sanford s. atwood plz ,emory u central office 
n . de. n. bond fleming ,ps *emory u oxford college | ee 
sident . dr. david b. mccorkle ,oyd junior college 
sident . wialdo w e. blanchet ,rt valley state college 
sident . dr. hugh m. mills jr. ,ainesville jr college | 
president . dr. j. whitney bu ,eorgia college ee 
acting president . r. james e. ,ga inst techn central off 
gean . dr. walter 0. ca ,*ga inst techn sthn tech 
rting acting president . lol. david l black ,georgia military college de 
7999 president . dr. john 0. eidson ,ones georgia southem college 
erlin president . dr. william b. king ,h ga southwestem college 
president . dr. noah n. langdsle h. ,georgia state university 
president . jose ,gordon military college 
president . dr. oswald | ,intrdenominat! theol ctr | 
president . or horace | ,kennesaw junior college 
president . dr. waights g. henry jr. ,la grange college 
president . dr.jack k. carlton ,macon junior college 
president . dr. harry b. o'rear ,medical college of ga 
presidnt . r. rufus c. harris ,mercer u central office 
dean . . dr. oliver m. littlejohn ,mercer u sthn school phar . 
president . dr. louis c. alderman r. ,middle georgia college 
president . hgh m. gloster ,: morehouse college 
president . dr. john a. middleton ,morris brown college 
president . dr. paul k. yonh $ ,. north georgia college | 
president . lucius h. pitt ,
president . james e. whalte ,piedmont college 
president . dr. james r. burgess jr ,reinhardt college 
: president . . dr prince a. jackson jr ,: savannah state college ee 
president . randall h. minor ,shorter college 
president . dr. denton r. coker ,south georgia college 
president . dr. albert e. manley ,spelman college 
president . wdr. robert w. jackson ,tift college | co 
president . dr. julian a. bandy ,toccoa falls institute 
president . dr. warner e. fusselle ,truett mcconnell college 
president . dr. fred c. davison ,university of georgia 
president . dr. s. walter martin ,valdosta state college : 
president . w. earl strickland i ,wesleyan college [ 
vice president .| george w. walker ,west georgia college he. 
president and dean of college . dr. d. r. farley ,
president . bro. robert c. maguire ,chaminade c of honolulu 
president . stephen l. brower ,church college of hawaii 
l president . dr. chandler w. rowe ,hawaii loa college 
president . dr. george a. warmer ,hawaii pacific college 
president . dr. harlan cleveland ,honolulu business college . 
president . dr. harlan cleveland ,u of hawaii system office sl | 
chancellr . dr. paul m. miwa ,*u of hawali hilo 
provost . mr. mitsugu sumada ,*u of hawaii hawaii cc 
provost . r. james w. thornton ,*u of hawaii honolulu cc 
provost . mr. reymond y c. won ,*u of hawaii kapiolani cc 
provost . vacant ,*u of hawaii kauai cc 
provost . mr. john j. prihods k ,*u of hawaii leeward cc } 
provost . mr. glen h. fishbach § ,*u of hawaii maui cc : 
president . dr. john b. barnes ,boise state college | 
president . r. warren b. knon ,college of idaho 
president . mother m. regina o'connell ,college of saint gertrude 
president . dr. james l. tayoi ,college of southern idaho 
president . dr. william e. davis ,. ; idaho state university 
president . dr. jerold 0. dugger ,lewis & clark st college 
president . mr. barty g. schuler ,north idaho college 
president . john e. riley ,nthwst nazarene college 
president . henry b. eyring ,
president . dr. emest w. hartung ,university of idaho 
president . thom as w. mann ,aero-space institute 
president . clinton e. frank ,american academy of art 
president . john r. hattstaedt ,american consv of music 
president . dr. clarence w. sorensen ,
president . . sr dr. james e. crimi ,aurora college 
president . sr. margaret burke ,barat college 
president . mr. h. j. haberaecker ,belleville area college 
president . dr. paul m. robinson ,bethany theological sem 
president . dr. glenn l. mcconagha ,i blackburn college 
president . dr. alban e. reid ,*black hawk c main campus 
provost . mr. max f. wingett ,*black hawk c east campus 
president . dr. martin g. abege c ,bradley university 
president . eltis henson ,carl sandburg college n 
"president . paul |, bechtold ",catholic theol union y 
resident . bonald a. canar } ,central ymca cmty college | co 
rector . richard hamper r ,hicago acad of fine arts | 
esident . dr. thaddeus p. kawaleh ,
sident . dr. francois d'albert ,hgo conservatory college 
president . dr. mitton e ,hicago state college sl | 
president . leslie g. ,chicago technical college 
aching president . wrs. robert w. r ,chicago theological sem 
; president . dr. theodore g. p ,cty colleges chgo cen off 
president . . mr. maceo t. bowie ,*city c chgo kennedy-king 
president . david h. heller ,*city c chicago loop c 
president . dr. nathaniel p. tillman jr. ,*city c chgo malcolm x cam 
president . r. virginia r. keehan ,*city c chicago sthwst c 
president . mr. emest v. clements ,*city c chicago wright cam 
president . dr. rodney berg ,: college of dupage 
president . dr. richard g. erzen ,college of lake county } 
president . dr. francis j. kerins i ,college of saint francis py 
president .|j mr. mirron alexa ndro f ,columbia college 
president . martin l. koehne ,concordia tchrs college 
president . dr. richard j. schul ,concordia theological sem 
president . miss mary mill ,danville junior college 
president . st. mary canisia ,| delourdes college 
president . v rev john r. cortelyou ,depaul university 
president . george p. doherty ,devry inst of technology | 
president .| dr. gilbert c. fite ,easter lll university 
president . .gilbert |. renner ,elgin community college 
president . dr. ivan frick ,elmhurst college 
; president . dr. ira w. langston ,eureka college 
president . wayne k. clymer ,evangelical theo! sem 
president and dean . sr. mary bonita ,felician college 
president . dr. merlyn w. nort helt : ,garrett biblical inst =n 
president . dr. richard e. hamlin i ,george williams college h 
president . dr. william e. engb ,{*enrollment date for fall 1971) 
president . orley r. her ,greenville college 
president . \ ,hebrew theol college 
president . kenneth e. borland ,highland cmty college | 
president . rev. donald w. kucera ,m benedictine college 
president . dr. kenneth l. edwards ,illinois central college 
president . dr. l vernon caine ,illinois college 
president . . dr. eugene w. strawn ,ill college of optometry 
president . dr. philip r. brachman ,ill college podiatric med 
president . . dr. joseph c. piland ,m eastern jc system © oft 
president . mr. gail l. lathrop ,mil estn jc olney cen c - 
president . . dr. john l. cox ,mil estn jc wabash viy c 
president . dr. john t. rettaliata ,illinois inst technology 
president . dr. david k. beri ,_ illinois state university 
president . dr. robert s. eckley ,winois vly cmty college 
president . mr. erwin george suechting ,inst drafting and techn 
president . nathan a. ivey ,john a logan college 
doan . mr. noble w. lee ,
president . . . dr. harold d. mcaninch ,joliet junior or college 
president . harm a. weber ,judson college 
president . dr. john r. samlin ,kankakee cmty college 
president . dr. n. eugene mcclintock ,kaskaskia college 
president . mr. wesley m. westerberg ,kendall college 
presidant . dr. walter l. fly ,kishwaukee college 
president . dr. robert 0. birkhir ,x college 
president . dr. lester c ,lewis college 
president . me. earl c. hargn ,lincoln christian college 
aclg pres vice pres dewelop . . dr. wilbur e. laym; ,lincoln college 
rsidnt . . robert l poorman ,lincoln land cmty college 
es president . rev. raymond c. baumhart ,tr loyola university | 
t hresidemt . vacant ,9 luth sch theology chicago | y 
president . mr. gordon c. borchardt ,maccormac college 
prusident . dr. john j. wittich ,macmurray college 
president 8nd dean . sr. m. marcella ripper ,mallinckrodt college | 
president . dr. marshal l scott ,mccormick theological sem 
president . dr. james r. davis ,mchenry county jr college 
president . dr. eric n. rackham ,mckendree college 
president . rev. malcolm r. sutherland jr. ,meadvl-lombard theol sch 
president . . j. roger miller ,millikin university 
president . . dr. richard d. stine actg ,v monmouth college e 
president . r. george sweeting libra ,moody bible institute s 
president . . dr. robert e. tumer co ,moraine vly cmty college 
president . dr. k. richard johnson ,rton college 
dean of the college . dr. daniel d. howard ,*natl college ed urban cam 
